Year,Award,Player/Coach,Team
2023,All-League Second Team Defensive End,1360,4
2023,All-League Second Team Defensive Tackle,672,5
2023,All-League Second Team Defensive Tackle,2109,15
2023,All-League Second Team Inside Linebacker,1557,17
2023,All-League Second Team Outside Linebacker,1649,16
2023,All-League Second Team Outside Linebacker,3905,9
2023,All-League Second Team Cornerback,1875,14
2023,All-League Second Team Cornerback,700,31
2023,All-League Second Team Safety,1233,31
2023,All-League Second Team Safety,78,16
2023,League's Fastest Man,1235,1
2023,League's Strongest Man,1250,29
2022,Legend of the Game,93,18
2022,Coach of the Year,35,7
2022,Player of the Year,44,1
2022,Front Office Bowl MVP,1771,7
2022,Offensive Player of the Year,44,1
2022,Defensive Player of the Year,1632,14
2022,Offensive Rookie of the Year,4106,12
2022,Defensive Rookie of the Year,4701,17
2022,All-League First Team Quarterback,44,1
2022,All-League First Team Running Back,1462,20
2022,All-League First Team Fullback,675,13
2022,All-League First Team Tight End,256,13
2022,All-League First Team Wide Receiver,338,27
2022,All-League First Team Wide Receiver,1854,6
2022,All-League First Team Center,1506,17
2022,All-League First Team Offensive Guard,1197,11
2022,All-League First Team Offensive Guard,215,18
2022,All-League First Team Offensive Tackle,1180,25
2022,All-League First Team Offensive Tackle,144,7
2022,All-League First Team Punter,394,5
2022,All-League First Team Kicker,1484,1
2022,All-League First Team Defensive End,1632,14
2022,All-League First Team Defensive End,1319,12
2022,All-League First Team Defensive Tackle,723,24
2022,All-League First Team Defensive Tackle,1136,20
2022,All-League First Team Inside Linebacker,1293,25
2022,All-League First Team Outside Linebacker,683,2
2022,All-League First Team Outside Linebacker,987,22
2022,All-League First Team Cornerback,654,13
2022,All-League First Team Cornerback,457,29
2022,All-League First Team Safety,249,3
2022,All-League First Team Safety,191,21
2022,All-League Second Team Quarterback,905,13
2022,All-League Second Team Running Back,1021,18
2022,All-League Second Team Fullback,3397,6
2022,All-League Second Team Tight End,831,18
2022,All-League Second Team Wide Receiver,306,10
2022,All-League Second Team Wide Receiver,964,22
2022,All-League Second Team Center,180,28
2022,All-League Second Team Offensive Guard,2223,7
2022,All-League Second Team Offensive Guard,896,23
2022,All-League Second Team Offensive Tackle,1207,22
2022,All-League Second Team Offensive Tackle,1637,6
2022,All-League Second Team Punter,1058,12
2022,All-League Second Team Kicker,1588,4
2022,All-League Second Team Defensive End,371,7
2022,All-League Second Team Defensive End,1640,19
2022,All-League Second Team Defensive Tackle,495,1
2022,All-League Second Team Defensive Tackle,679,13
2022,All-League Second Team Inside Linebacker,1018,14
2022,All-League Second Team Outside Linebacker,938,0
2022,All-League Second Team Outside Linebacker,1649,16
2022,All-League Second Team Cornerback,113,23
2022,All-League Second Team Cornerback,681,16
2022,All-League Second Team Safety,2105,27
2022,All-League Second Team Safety,608,28
2022,League's Fastest Man,1346,16
2022,League's Strongest Man,1388,19
2021,Legend of the Game,48,9
2021,Coach of the Year,35,7
2021,Player of the Year,155,15
2021,Front Office Bowl MVP,905,13
2021,Offensive Player of the Year,155,15
2021,Defensive Player of the Year,1400,20
2021,Offensive Rookie of the Year,3269,25
2021,Defensive Rookie of the Year,3760,16
2021,All-League First Team Quarterback,155,15
2021,All-League First Team Running Back,482,1
2021,All-League First Team Fullback,254,3
2021,All-League First Team Tight End,235,21
2021,All-League First Team Wide Receiver,1367,11
2021,All-League First Team Wide Receiver,463,3
2021,All-League First Team Center,376,1
2021,All-League First Team Offensive Guard,1197,11
2021,All-League First Team Offensive Guard,556,22
2021,All-League First Team Offensive Tackle,749,31
2021,All-League First Team Offensive Tackle,391,29
2021,All-League First Team Punter,1650,25
2021,All-League First Team Kicker,1484,1
2021,All-League First Team Defensive End,1400,20
2021,All-League First Team Defensive End,1319,12
2021,All-League First Team Defensive Tackle,495,1
2021,All-League First Team Defensive Tackle,1250,29
2021,All-League First Team Inside Linebacker,1293,25
2021,All-League First Team Outside Linebacker,962,7
2021,All-League First Team Outside Linebacker,1053,8
2021,All-League First Team Cornerback,1151,3
2021,All-League First Team Cornerback,2037,13
2021,All-League First Team Safety,1089,22
2021,All-League First Team Safety,876,5
2021,All-League Second Team Quarterback,44,1
2021,All-League Second Team Running Back,1591,22
2021,All-League Second Team Fullback,3397,6
2021,All-League Second Team Tight End,983,20
2021,All-League Second Team Wide Receiver,306,10
2021,All-League Second Team Wide Receiver,456,19
2021,All-League Second Team Center,295,30
2021,All-League Second Team Offensive Guard,2223,7
2021,All-League Second Team Offensive Guard,215,18
2021,All-League Second Team Offensive Tackle,221,17
2021,All-League Second Team Offensive Tackle,636,19
2021,All-League Second Team Punter,1058,12
2021,All-League Second Team Kicker,3712,7
2021,All-League Second Team Defensive End,448,13
2021,All-League Second Team Defensive End,1399,2
2021,All-League Second Team Defensive Tackle,1709,4
2021,All-League Second Team Defensive Tackle,612,10
2021,All-League Second Team Inside Linebacker,1997,2
2021,All-League Second Team Outside Linebacker,1649,16
2021,All-League Second Team Outside Linebacker,413,14
2021,All-League Second Team Cornerback,457,29
2021,All-League Second Team Cornerback,135,25
2021,All-League Second Team Safety,260,13
2021,All-League Second Team Safety,1233,31
2021,League's Fastest Man,729,13
2021,League's Strongest Man,788,8
2020,Legend of the Game,9,22
2020,Coach of the Year,85,17
2020,Player of the Year,1,27
2020,Front Office Bowl MVP,1371,24
2020,Offensive Player of the Year,482,1
2020,Defensive Player of the Year,448,13
2020,Offensive Rookie of the Year,1786,13
2020,Defensive Rookie of the Year,1997,2
2020,All-League First Team Quarterback,1143,2
2020,All-League First Team Running Back,482,1
2020,All-League First Team Fullback,443,17
2020,All-League First Team Tight End,256,13
2020,All-League First Team Wide Receiver,895,26
2020,All-League First Team Wide Receiver,183,9
2020,All-League First Team Center,180,28
2020,All-League First Team Offensive Guard,896,23
2020,All-League First Team Offensive Guard,1197,11
2020,All-League First Team Offensive Tackle,381,7
2020,All-League First Team Offensive Tackle,223,10
2020,All-League First Team Punter,58,17
2020,All-League First Team Kicker,536,30
2020,All-League First Team Defensive End,448,13
2020,All-League First Team Defensive End,843,30
2020,All-League First Team Defensive Tackle,612,10
2020,All-League First Team Defensive Tackle,679,13
2020,All-League First Team Inside Linebacker,697,18
2020,All-League First Team Outside Linebacker,962,7
2020,All-League First Team Outside Linebacker,129,5
2020,All-League First Team Cornerback,541,2
2020,All-League First Team Cornerback,167,16
2020,All-League First Team Safety,738,8
2020,All-League First Team Safety,608,28
2020,All-League Second Team Quarterback,905,13
2020,All-League Second Team Running Back,1591,22
2020,All-League Second Team Fullback,1470,16
2020,All-League Second Team Tight End,1012,2
2020,All-League Second Team Wide Receiver,1235,1
2020,All-League Second Team Wide Receiver,538,19
2020,All-League Second Team Center,1229,9
2020,All-League Second Team Offensive Guard,1492,1
2020,All-League Second Team Offensive Guard,747,16
2020,All-League Second Team Offensive Tackle,574,22
2020,All-League Second Team Offensive Tackle,742,2
2020,All-League Second Team Punter,394,5
2020,All-League Second Team Kicker,1046,20
2020,All-League Second Team Defensive End,597,23
2020,All-League Second Team Defensive End,1203,4
2020,All-League Second Team Defensive Tackle,723,24
2020,All-League Second Team Defensive Tackle,1216,29
2020,All-League Second Team Inside Linebacker,1557,26
2020,All-League Second Team Outside Linebacker,1053,8
2020,All-League Second Team Outside Linebacker,192,31
2020,All-League Second Team Cornerback,296,9
2020,All-League Second Team Cornerback,1863,18
2020,All-League Second Team Safety,309,0
2020,All-League Second Team Safety,260,13
2020,League's Fastest Man,1733,22
2020,League's Strongest Man,1966,23
